fusion_pair,found_in
Gm62573::Zfp869,shared
Gm62745::Nipsnap1,shared
Gm62989::Wapl,shared
Gm66135::Akap14,shared
Gm67306::Arl2bp,shared
Gm67338::Rbm17,shared
Gm67338::Rbm18,shared
Gm67676::5033405D04Rik,shared
Gm68817::Tln2,shared
Gm69065::1500015L24Rik,shared
Gm69065::Anxa1,shared
Gm71299::Epsti1,shared
Gm71615::Pamr1,shared
Gm73090::Grap,shared
Gm73738::Slc1a2,shared
Gm74401::Peli1,shared
Gm75176::Rabgap1,shared
Gm7967::Slco6d1,shared
Gm8278::Sord,shared
Gmps::Gm9701,shared
Gnai3::Gm11350,shared
Gnai3::Gm69689,shared
Gnai3::Gm73049,shared
Gpatch1::Gm29787,shared
Gpatch1::Tiam1,shared
Gpatch3::Slc14a1,shared
Gtf2a2::Astl,shared
Gtf2a2::Psma2,shared
Hif1an::Ly6e,shared
Hsp90aa1::Gm45883,shared
Hsp90aa1::Hsp90aa1,shared
Hsp90aa1::Smim36,shared
Ifi211::Ifi211,shared
Ing1::Rprd1a,shared
Itgav::Def8,shared
Kcnq1ot1::Cbl,shared
Kif18b::Def8,shared
Klhl21::Camta1,shared
Large1::Nwd1,shared
Lsm14a::Lsm14a,shared
Ly6e::Gm43899,shared
Macir::Arl2bp,shared
Mettl14::Klhl25,shared
Mmd::Efcab2,shared
Mmd::Gm45883,shared
Mmd::Smim36,shared
Mtmr10::Chrna7,shared
Ncor2::1700013M08Rik,shared
Ncor2::Gm71284,shared
Ninj2::Anxa1,shared
Or3a1b::Anxa1,shared
Orai2::Anxa1,shared
Pdgfa::Def8,shared
Pi4k2b::Cit,shared
Pi4k2b::Gm41702,shared
Plcl1::Baiap2l1,shared
Plekha2::Plekha2,shared
Plxna2::Esyt2,shared
Popdc3::Gprc5a,shared
Prpf38b::Gm7669,shared
Reep5::Pkd2l2,shared
Sap130::Pde4d,shared
Septin7::Gm48256,shared
Slc14a1::Zfp512b,shared
Slk::Stn1,shared
Smim36::Efcab2,shared
Smyd3::Arl2bp,shared
Snhg15::Ly6e,shared
Sp140l1::Gm6264,shared
Spag16::Gprc5a,shared
St3gal5::Rmnd5a,shared
Stk3::Zfp869,shared
Synpo::Smim3,shared
Syt1::Arl2bp,shared
Tedc1::1700105P06Rik,shared
Tedc1::Afg3l2,shared
Thsd4::Sh3bp4,shared
Upf2::Echdc3,shared
Wapl::Gm55180,shared
Zbtb44::Gm56092,shared
Zcchc24::Zcchc24,shared
